prompt_id,domain,n_draft,acceptance_rate,tokens_per_sec,latency
p20,alpaca,0,1.0,6.585364849791951,4.555556249999995
p20,alpaca,2,0.8260869565217391,6.51024194833098,4.608123666999973
p20,alpaca,4,0.7666666666666667,3.7301720953751767,8.042524375000085
p20,alpaca,8,0.5319148936170213,11.230341286174774,2.6713346669999964
p101,writing_prompts,0,1.0,6.391909887493617,4.693432874999985
p101,writing_prompts,2,0.9090909090909091,6.637676246898458,4.51965400000006
p101,writing_prompts,4,0.8888888888888888,5.687658084937217,5.274578667000014
p101,writing_prompts,8,0.7027027027027027,10.309895261344376,2.909825875000024
p101,writing_prompts,16,0.5,10.068489784154446,2.9795928329999697
p101,writing_prompts,32,0.35,7.796309207730506,3.8479746249998925
p102,writing_prompts,0,1.0,5.734387015963021,5.2315966669999625
p102,writing_prompts,2,0.8260869565217391,3.76997065376302,7.957621625000002
p102,writing_prompts,4,0.8214285714285714,4.508901642932793,6.653505082999914
p102,writing_prompts,8,0.6578947368421053,10.24671966213153,2.9277662499999906
p102,writing_prompts,16,0.4727272727272727,10.835696144767171,2.7686269160000165
p102,writing_prompts,32,0.3333333333333333,10.702891274803443,2.8029809170000135
p103,writing_prompts,0,1.0,6.3752705235276075,4.705682667000019
p103,writing_prompts,2,0.9090909090909091,5.384463480616755,5.571585750000054
p103,writing_prompts,4,0.7931034482758621,10.513322153291291,2.8535223750000114
p103,writing_prompts,8,0.6410256410256411,10.214622988076785,2.936965958999963
p103,writing_prompts,16,0.4642857142857143,4.254563134189167,7.051252750000003
p103,writing_prompts,32,0.32926829268292684,4.863969565818188,6.167801749999967
p104,writing_prompts,0,1.0,5.0145330226586315,5.982610915999999
p104,writing_prompts,2,0.9090909090909091,6.638561638835458,4.51905120899994
p104,writing_prompts,4,0.7931034482758621,9.595695371056372,3.126401875000056
p104,writing_prompts,8,0.8387096774193549,14.003045312279175,2.1423911250000174
p104,writing_prompts,16,0.675,15.601096601080496,1.92294174999995
p104,writing_prompts,32,0.509090909090909,12.670939773285783,2.367622333999975
p105,writing_prompts,0,1.0,6.60371382960205,4.5428982500000075
p105,writing_prompts,2,0.8636363636363636,5.4587649965174085,5.4957485840001254
p105,writing_prompts,4,0.7333333333333333,8.730521540377685,3.4362208329998793
p105,writing_prompts,8,0.5581395348837209,8.646276402040488,3.4697017080000023
p105,writing_prompts,16,0.43333333333333335,9.482034014821274,3.1638781250001102
p105,writing_prompts,32,0.2826086956521739,8.84816667645505,3.3905328749999626
p106,writing_prompts,0,1.0,6.531686580972389,4.592994417
p106,writing_prompts,2,1.0,5.481911488601521,5.472543666999854
p106,writing_prompts,4,1.0,9.534023413893095,3.146625374999985
p106,writing_prompts,8,1.0,12.050335857983873,2.48955716699993
p106,writing_prompts,16,1.0,26.126340071041056,1.1482664589998421
p106,writing_prompts,32,1.0,36.515676175524526,0.821564958999943
p107,writing_prompts,0,1.0,5.780688622123659,5.189693124999849
p107,writing_prompts,2,0.9090909090909091,5.199435168026093,5.769857500000171
p107,writing_prompts,4,0.8888888888888888,9.191157699676415,3.2640066659998865
p107,writing_prompts,8,0.7027027027027027,8.698626937917536,3.448820165999905
p107,writing_prompts,16,0.5,7.831386506164012,3.830739291999862
p107,writing_prompts,32,0.35,12.443164121386323,2.410962333000043
p108,writing_prompts,0,1.0,6.961203771341144,4.309599458000093
p108,writing_prompts,2,1.0,7.960932695094245,3.7684026669999184
p108,writing_prompts,4,0.9230769230769231,11.080437959585117,2.7074742089998836
p108,writing_prompts,8,0.8125,8.722987678525376,3.4391886250000425
p108,writing_prompts,16,0.6666666666666666,9.569671414566212,3.1349038749999636
p108,writing_prompts,32,0.5087719298245614,18.798999792700922,1.5958295829998406
p109,writing_prompts,0,1.0,6.180473959521924,4.853996667000047
p109,writing_prompts,2,0.8260869565217391,6.421014525110834,4.672158874999923
p109,writing_prompts,4,0.71875,10.287029700546526,2.9162937090000014
p109,writing_prompts,8,0.6097560975609756,10.587444969998561,2.833544834000122
p109,writing_prompts,16,0.3939393939393939,11.028935501210976,2.7201174580000043
p109,writing_prompts,32,0.2903225806451613,9.151908876507944,3.2780046660000153
p110,writing_prompts,0,1.0,7.006012549694778,4.28203629199993
p110,writing_prompts,2,0.9090909090909091,7.435152304252103,4.034887084000047
p110,writing_prompts,4,0.7931034482758621,7.2950790997487,4.112361167000017
p110,writing_prompts,8,0.8387096774193549,11.19235030076734,2.680402167000011
p110,writing_prompts,16,0.675,12.84998839847371,2.3346324579999873
p110,writing_prompts,32,0.509090909090909,6.485794200526358,4.625493667000001
p111,writing_prompts,0,1.0,5.668015097597753,5.292858167000077
p111,writing_prompts,2,1.0,7.444091000079206,4.030042082999898
p111,writing_prompts,4,0.9230769230769231,9.74693002967317,3.0778922090000833
p111,writing_prompts,8,0.8125,15.2123835783791,1.9720775410000897
p111,writing_prompts,16,0.6666666666666666,16.852622879842528,1.780138332999968
p111,writing_prompts,32,0.5087719298245614,18.61551887384748,1.6115586250000433
p112,writing_prompts,0,1.0,7.178066198459395,4.179398624999976
p112,writing_prompts,2,0.8260869565217391,6.783452724810848,4.422526583000035
p112,writing_prompts,4,0.71875,10.52675040390918,2.8498823329998686
p112,writing_prompts,8,0.6097560975609756,11.199336129635622,2.6787302079999336
p112,writing_prompts,16,0.3939393939393939,9.842156820087475,3.0481123750000734
p112,writing_prompts,32,0.2903225806451613,10.026180027080915,2.9921664999999393
p113,writing_prompts,0,1.0,7.338750601370249,4.087889292
p113,writing_prompts,2,0.9523809523809523,8.952594001324709,3.3509840829999575
p113,writing_prompts,4,0.8888888888888888,13.920462075818039,2.1551008750000165
p113,writing_prompts,8,0.7222222222222222,15.979693006128457,1.8773827499999243
p113,writing_prompts,16,0.6222222222222222,19.460680214256197,1.541569958999844
p113,writing_prompts,32,0.4,13.471262597454858,2.2269627499999842
p114,writing_prompts,0,1.0,7.478211218318072,4.01165454199986
p114,writing_prompts,2,0.9523809523809523,9.790305525248574,3.0642557500000294
p114,writing_prompts,4,0.7931034482758621,11.712671763891528,2.561328499999945
p114,writing_prompts,8,0.6666666666666666,16.238333634152063,1.8474802080002064
p114,writing_prompts,16,0.5833333333333334,19.363163308352775,1.5493336250001448
p114,writing_prompts,32,0.3835616438356164,14.705874848619056,2.040001041000096
p115,writing_prompts,0,1.0,7.65148074868013,3.920809707999979
p115,writing_prompts,2,0.9090909090909091,8.67649001995736,3.4576193750001494
p115,writing_prompts,4,0.8571428571428571,10.695374637962425,2.804950833000021
p115,writing_prompts,8,0.7027027027027027,14.648679496470383,2.0479661670001406
p115,writing_prompts,16,0.6086956521739131,11.032872549677556,2.719146791999947
p115,writing_prompts,32,0.39436619718309857,12.904291911872148,2.3248079170000437
p116,writing_prompts,0,1.0,7.042886650184546,4.259617041999945
p116,writing_prompts,2,1.0,8.765131614110153,3.422652542000151
p116,writing_prompts,4,0.9230769230769231,11.778394802076305,2.5470363750000615
p116,writing_prompts,8,0.7428571428571429,14.973785580755779,2.0035013750000417
p116,writing_prompts,16,0.6363636363636364,6.8543407384140345,4.376788540999996
p116,writing_prompts,32,0.4057971014492754,12.774915973511836,2.3483520409999983
p117,writing_prompts,0,1.0,7.580949377452318,3.9572880000000623
p117,writing_prompts,2,0.75,7.484231659422694,4.008427499999925
p117,writing_prompts,4,0.6285714285714286,9.372423558839202,3.200879666999981
p117,writing_prompts,8,0.3898305084745763,8.872321307567587,3.3813022499998624
p117,writing_prompts,16,0.24242424242424243,8.022294313155957,3.7395785829999113
